exposure_id,biomarker_id,name,mean,sd,distribution
strain_a,biomarker_a,boost,80,30,log-normal
strain_a,biomarker_a,wane,0.02,0.005,log-normal
strain_a,biomarker_b,boost,40,10,log-normal
strain_a,biomarker_b,wane,0.02,0.005,log-normal
strain_a,biomarker_c,boost,20,10,log-normal
strain_a,biomarker_c,wane,0.02,0.005,log-normal
strain_a,biomarker_a,biomarker_prot_midpoint,40,,
strain_a,biomarker_a,biomarker_prot_width,0.09,,
NA,biomarker_a,obs_sd,,10,normal
strain_b,biomarker_a,boost,40,10,log-normal
strain_b,biomarker_a,wane,0.02,0.005,log-normal
strain_b,biomarker_b,boost,80,30,log-normal
strain_b,biomarker_b,wane,0.02,0.005,log-normal
strain_b,biomarker_c,boost,40,10,log-normal
strain_b,biomarker_c,wane,0.02,0.005,log-normal
strain_b,biomarker_b,biomarker_prot_midpoint,40,,
strain_b,biomarker_b,biomarker_prot_width,0.09,,
NA,biomarker_b,obs_sd,,10,normal
strain_c,biomarker_a,boost,20,10,log-normal
strain_c,biomarker_a,wane,0.02,0.005,log-normal
strain_c,biomarker_b,boost,40,10,log-normal
strain_c,biomarker_b,wane,0.02,0.005,log-normal
strain_c,biomarker_c,boost,80,30,log-normal
strain_c,biomarker_c,wane,0.02,0.005,log-normal
strain_c,biomarker_c,biomarker_prot_midpoint,40,,
strain_c,biomarker_c,biomarker_prot_width,0.09,,
NA,biomarker_c,obs_sd,,10,normal
